x,y
0,0
1,21
2,44
3,189
4,17
5,10
6,16
7,3
8,3
9,8
10,0
11,7
12,0
13,9
14,3
15,5
16,3
17,14
18,5
19,6
20,4
21,12
22,8
23,25
24,0
25,0
26,9
27,8
28,1
29,4
30,4
31,51
32,3
33,2
34,16
35,17
36,2
37,0
38,11
39,4
40,10
41,0
42,8
43,6
44,10
45,5
46,3
47,5
48,8
49,2
50,12
51,10
52,5
53,4
54,11
55,17
56,26
57,10
58,2
59,35
60,23
61,7
62,0
63,20
64,0
65,2
66,0
67,12
68,9
69,1
70,50
71,15
72,22
73,3
74,5
75,13
76,6
77,6
78,6
79,0
80,3
81,4
82,52
83,0
84,26
85,5
86,52
87,2
88,4
89,20
90,0
91,1
92,2
93,0
94,11
95,3
96,2
97,19
98,1
99,3
100,3
101,0
102,2
103,2
104,6
105,20
106,10
107,0
108,2
109,3
110,7
111,3
112,2
113,12
114,21
115,11
116,0
117,4
118,27
119,4
120,2
121,11
122,0
123,14
124,0
125,19
126,1
127,1
128,0
129,0
130,0
131,9
132,45
133,2
134,18
135,4
136,0
137,0
138,7
139,4
140,9
141,5
142,4
143,5
144,0
145,11
146,0
147,1
148,1
149,9
150,5
151,15
152,1
153,0
154,22
155,7
156,6
157,1
158,0
159,2
160,13
161,33
162,5
163,24
164,5
165,1
166,8
167,4
168,11
169,2
170,17
171,21
172,17
173,0
174,1
175,15
176,5
177,2
178,4
179,15
180,0
181,3
182,2
183,3
184,0
185,11
186,11
187,14
188,15
189,3
190,8
191,0
192,16
193,12
194,6
195,30
196,8
197,20
198,21
199,9
200,2
201,4
202,4
203,4
204,1
205,5
206,0
207,4
208,14
209,2
210,5
211,0
212,1
213,1
214,1
215,18
216,0
217,5
218,11
219,6
220,3
221,1
222,7
223,9
224,22
225,6
226,11
227,4
228,12
229,19
230,2
231,4
232,4
233,1
234,13
235,3
236,16
237,17
238,7
239,4
240,2
241,3
242,1
243,12
244,27
245,2
246,1
247,5
248,1
249,8
250,12
251,2
252,5
253,3
254,4
255,0
256,7
257,2
258,8
259,0
260,23
261,3
262,0
263,17
264,0
265,3
266,2
267,1
268,0
269,1
270,8
271,1
272,0
273,1
274,12
275,13
276,5
277,2
278,0
279,0
280,5
281,6
282,3
283,0
284,0
285,0
286,8
287,0
288,0
289,6
290,0
291,5
292,0
293,6
294,0
295,2
296,0
297,3
298,3
299,5
300,3
301,0
302,0
303,0
304,15
305,2
306,1
307,7
308,0
309,1
310,1
311,1
312,2
313,5
314,0
315,3
316,0
317,2
318,0
319,2
320,0
321,0
322,4
323,7
324,4
325,0
326,0
327,3
328,1
329,0
330,9
331,2
332,1
333,4
334,4
335,5
336,1
337,0
338,0
339,0
340,0
341,2
342,2
343,1
344,2
345,0
346,6
347,4
348,0
349,6
350,1
351,1
352,0
353,7
354,2
355,2
356,0
357,0
358,0
359,0
360,2
361,2
362,1
363,0
364,3
365,1
366,3
367,2
368,4
369,0
370,2
371,4
372,7
373,0
374,1
375,1
376,3
377,2
378,3
379,1
380,1
381,3
382,2
383,0
384,4
385,2
386,0
387,1
388,0
389,3
390,2
391,1
392,5
393,0
394,0
395,0
396,2
397,8
398,0
399,0
400,1
401,1
402,2
403,4
404,1
405,0
406,5
407,0
408,1
409,2
410,3
411,0
412,0
413,2
414,4
415,1
416,3
417,0
418,0
419,0
420,2
421,1
422,0
423,4
424,1
425,0
426,0
427,4
428,1
429,1
430,7
431,0
432,1
433,1
434,3
435,0
436,0
437,2
438,5
439,0
440,4
441,0
442,0
443,1
444,0
445,5
446,1
447,2
448,0
449,1
450,1
451,3
452,0
453,4
454,0
455,0
456,0
457,2
458,3
459,0
460,2
461,1
462,0
463,0
464,0
465,5
466,3
467,0
468,0
469,0
470,1
471,0
472,1
473,0
474,3
475,0
476,1
477,6
478,0
479,0
480,3
481,2
482,0
483,1
484,5
485,0
486,1
487,0
488,0
489,0
490,2
491,0
492,0
493,3
494,0
495,3
496,0
497,1
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,3
506,1
507,0
508,3
509,0
510,1
511,5
512,0
513,1
514,0
515,0
516,0
517,1
518,0
519,0
520,2
521,0
522,1
523,2
524,1
525,1
526,0
527,5
528,0
529,1
530,1
531,1
532,0
533,0
534,1
535,2
536,6
537,1
538,2
539,0
540,0
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,1
554,0
555,1
556,1
557,0
558,3
559,0
560,3
561,1
562,2
563,0
564,2
565,0
566,1
567,1
568,0
569,0
570,0
571,0
572,3
573,0
574,2
575,0
576,1
577,0
578,0
579,2
580,1
581,0
582,0
583,2
584,0
585,1
586,1
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,2
597,3
598,1
599,0
600,7
601,1
602,1
603,7
604,0
605,0
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,2
614,0
615,0
616,0
617,1
618,2
619,0
620,0
621,1
622,1
623,0
624,0
625,0
626,0
627,0
628,2
629,0
630,0
631,3
632,1
633,0
634,0
635,0
636,1
637,1
638,1
639,5
640,0
641,0
642,1
643,0
644,0
645,2
646,0
647,4
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,0
656,1
657,1
658,0
659,1
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,3
668,0
669,0
670,1
671,0
672,0
673,0
674,0
675,0
676,1
677,3
678,0
679,0
680,0
681,1
682,0
683,0
684,2
685,1
686,2
687,1
688,0
689,1
690,0
691,2
692,0
693,1
694,4
695,0
696,0
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,3
711,0
712,1
713,0
714,0
715,0
716,0
717,0
718,1
719,1
720,0
721,0
722,0
723,0
724,1
725,0
726,1
727,0
728,0
729,0
730,2
731,0
732,0
733,0
734,0
735,0
736,1
737,0
738,2
739,1
740,0
741,0
742,0
743,0
744,1
745,1
746,4
747,0
748,2
749,0
750,3
751,0
752,0
753,4
754,1
755,2
756,0
757,0
758,0
759,2
760,0
761,1
762,0
763,2
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,2
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,1
791,0
792,0
793,0
794,1
795,0
796,6
797,0
798,1
799,0
800,0
801,0
802,2
803,0
804,1
805,0
806,1
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,0
822,0
823,1
824,0
825,1
826,0
827,2
828,1
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,2
849,0
850,4
851,1
852,1
853,0
854,0
855,0
856,1
857,0
858,0
859,1
860,0
861,0
862,0
863,0
864,2
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,0
878,0
879,0
880,1
881,0
882,1
883,3
884,0
885,3
886,0
887,0
888,0
889,0
890,0
891,0
892,3
893,0
894,0
895,0
896,0
897,2
898,4
899,0
900,0
901,0
902,0
903,0
904,1
905,0
906,0
907,0
908,2
909,0
910,1
911,2
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,1
926,0
927,0
928,0
929,1
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,2
942,0
943,0
944,0
945,0
946,0
947,1
948,0
949,3
950,1
951,2
952,0
953,0
954,0
955,0
956,0
957,1
958,2
959,0
960,4
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,0
977,2
978,1
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,2
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,2
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,1
1022,0
1023,0
1024,2
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,1
1034,1
1035,1
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,3
1054,0
1055,0
1056,1
1057,0
1058,1
1059,1
1060,1
1061,0
1062,2
1063,2
1064,2
1065,0
1066,0
1067,0
1068,2
1069,0
1070,1
1071,0
1072,1
1073,0
1074,0
