x,y
0,0.0110381
0.00957581,0.0110381
0.0191516,0.011038
0.0287274,0.011038
0.0383032,0.0110377
0.0478791,0.0110374
0.0574549,0.0110369
0.0670307,0.0110357
0.0766065,0.0110285
0.0861823,0.011017
0.0957581,0.0110079
0.105334,0.0109926
0.11491,0.010968
0.124486,0.0109503
0.134061,0.0109335
0.143637,0.0109084
0.153213,0.0108896
0.162789,0.0108657
0.172365,0.0108522
0.18194,0.0108344
0.191516,0.0108248
0.201092,0.0108147
0.210668,0.0108014
0.220244,0.0107885
0.229819,0.0107832
0.239395,0.0107748
0.248971,0.0107721
0.258547,0.0107646
0.268123,0.0107591
0.277699,0.0107529
0.287274,0.010745
0.29685,0.0107382
0.306426,0.0107284
0.316002,0.0107224
0.325578,0.0107188
0.335153,0.0107161
0.344729,0.0107103
0.354305,0.0107049
0.363881,0.010702
0.373457,0.0106991
0.383032,0.0106962
0.392608,0.0106934
0.402184,0.0106907
0.41176,0.0106851
0.421336,0.0106825
0.430912,0.0106802
0.440487,0.0106783
0.450063,0.0106763
0.459639,0.0106742
0.469215,0.0106724
0.478791,0.0106703
0.488366,0.0106683
0.497942,0.0106665
0.507518,0.0106623
0.517094,0.0106602
0.52667,0.0106563
0.536245,0.0106541
0.545821,0.0106513
0.555397,0.0106492
0.564973,0.0106475
0.574549,0.010645
0.584125,0.010643
0.5937,0.0106361
0.603276,0.0106345
0.612852,0.010633
0.622428,0.0106301
0.632004,0.0106284
0.641579,0.0106263
0.651155,0.0106227
0.660731,0.0106199
0.670307,0.010618
0.679883,0.0106159
0.689458,0.010613
0.699034,0.0106102
0.70861,0.0106089
0.718186,0.0106071
0.727762,0.0106052
0.737337,0.0106034
0.746913,0.010599
0.756489,0.0105975
0.766065,0.0105962
0.775641,0.0105944
0.785217,0.0105925
0.794792,0.0105908
0.804368,0.0105887
0.813944,0.0105862
0.82352,0.0105807
0.833096,0.0105787
0.842671,0.0105761
0.852247,0.0105748
0.861823,0.0105728
0.871399,0.0105711
0.880975,0.0105679
0.890551,0.0105652
0.900126,0.0105637
0.909702,0.0105588
0.919278,0.0105573
0.928854,0.0105545
0.938429,0.0105509
0.948005,0.0105494
0.957581,0.0105469
0.967157,0.0105455
0.976733,0.010544
0.986309,0.0105423
0.995884,0.0105409
1.00546,0.0105395
1.01504,0.0105373
1.02461,0.0105359
1.03419,0.0105347
1.04376,0.0105334
1.05334,0.0105321
1.06292,0.0105306
1.07249,0.0105293
1.08207,0.0105252
1.09164,0.0105239
1.10122,0.0105225
1.11079,0.0105209
1.12037,0.0105197
1.12995,0.0105178
1.13952,0.0105156
1.1491,0.0105142
1.15867,0.0105132
1.16825,0.0105121
1.17782,0.0105103
1.1874,0.0105083
1.19698,0.0105068
1.20655,0.0105042
1.21613,0.0105027
1.2257,0.0105016
1.23528,0.0105
1.24486,0.0104986
1.25443,0.0104975
1.26401,0.0104952
1.27358,0.010494
1.28316,0.010492
1.29273,0.0104909
1.30231,0.0104881
1.31189,0.0104865
1.32146,0.0104853
1.33104,0.0104833
1.34061,0.0104823
1.35019,0.0104798
1.35977,0.010478
1.36934,0.0104769
1.37892,0.0104723
1.38849,0.0104707
1.39807,0.0104692
1.40764,0.0104681
1.41722,0.0104668
1.4268,0.0104633
1.43637,0.0104617
1.44595,0.0104608
1.45552,0.0104599
1.4651,0.0104586
1.47467,0.0104575
1.48425,0.0104556
1.49383,0.010454
1.5034,0.0104508
1.51298,0.0104499
1.52255,0.0104477
1.53213,0.0104466
1.54171,0.0104448
1.55128,0.0104432
1.56086,0.010442
1.57043,0.0104409
1.58001,0.0104398
1.58958,0.0104388
1.59916,0.0104377
1.60874,0.0104362
1.61831,0.0104346
1.62789,0.0104335
1.63746,0.0104325
1.64704,0.0104312
1.65662,0.0104301
1.66619,0.0104287
1.67577,0.0104271
