x,y
0,0.0110474
0.00132029,0.0110497
0.00264058,0.0110516
0.00396087,0.0110538
0.00528116,0.0110557
0.00660145,0.0110577
0.00792174,0.0110596
0.00924203,0.0110613
0.0105623,0.0110632
0.0118826,0.0110649
0.0132029,0.0110667
0.0145232,0.0110686
0.0158435,0.0110703
0.0171638,0.0110718
0.0184841,0.0110739
0.0198044,0.0110758
0.0211246,0.0110777
0.0224449,0.0110797
0.0237652,0.0110818
0.0250855,0.0110838
0.0264058,0.0110854
0.0277261,0.011087
0.0290464,0.0110884
0.0303667,0.0110903
0.031687,0.0110921
0.0330073,0.0110936
0.0343275,0.0110955
0.0356478,0.0110974
0.0369681,0.0110991
0.0382884,0.0111008
0.0396087,0.0111029
0.040929,0.0111046
0.0422493,0.0111058
0.0435696,0.0111076
0.0448899,0.0111083
0.0462102,0.0111101
0.0475304,0.0111113
0.0488507,0.0111133
0.050171,0.0111152
0.0514913,0.0111171
0.0528116,0.0111185
0.0541319,0.0111202
0.0554522,0.011122
0.0567725,0.0111241
0.0580928,0.0111259
0.0594131,0.0111277
0.0607333,0.0111296
0.0620536,0.0111315
0.0633739,0.0111331
0.0646942,0.0111349
0.0660145,0.0111368
0.0673348,0.0111371
0.0686551,0.0111378
0.0699754,0.0111396
0.0712957,0.0111413
0.072616,0.0111432
0.0739362,0.011145
0.0752565,0.0111468
0.0765768,0.0111474
0.0778971,0.0111489
0.0792174,0.0111507
0.0805377,0.0111524
0.081858,0.0111541
0.0831783,0.011156
0.0844986,0.0111578
0.0858189,0.0111596
0.0871391,0.0111598
0.0884594,0.0111614
0.0897797,0.0111619
0.0911,0.0111619
0.0924203,0.0111624
0.0937406,0.0111642
0.0950609,0.0111658
0.0963812,0.0111675
0.0977015,0.0111674
0.0990217,0.0111691
0.100342,0.0111707
0.101662,0.0111723
0.102983,0.011174
0.104303,0.0111753
0.105623,0.011177
0.106943,0.0111783
0.108264,0.0111799
0.109584,0.0111815
0.110904,0.0111832
0.112225,0.0111847
0.113545,0.0111863
0.114865,0.0111877
0.116186,0.0111894
0.117506,0.0111909
0.118826,0.0111925
0.120146,0.011194
0.121467,0.0111924
0.122787,0.0111937
0.124107,0.0111953
0.125428,0.0111966
0.126748,0.0111981
0.128068,0.0111997
0.129388,0.011201
0.130709,0.0112025
0.132029,0.0112022
0.133349,0.0112038
0.13467,0.0112052
0.13599,0.0112067
0.13731,0.0112081
0.13863,0.0112097
0.139951,0.0112113
0.141271,0.011213
0.142591,0.0112144
0.143912,0.0112158
0.145232,0.0112172
0.146552,0.0112187
0.147872,0.01122
0.149193,0.0112211
0.150513,0.0112223
0.151833,0.0112235
0.153154,0.0112247
0.154474,0.0112258
0.155794,0.011227
0.157115,0.0112284
0.158435,0.0112264
0.159755,0.0112277
0.161075,0.011229
0.162396,0.0112303
0.163716,0.0112314
0.165036,0.011233
0.166357,0.0112343
0.167677,0.0112355
0.168997,0.0112368
0.170317,0.0112383
0.171638,0.0112395
0.172958,0.0112406
0.174278,0.0112394
0.175599,0.0112407
0.176919,0.0112422
0.178239,0.0112431
0.179559,0.0112444
0.18088,0.0112458
0.1822,0.0112472
0.18352,0.0112486
0.184841,0.0112496
0.186161,0.0112507
0.187481,0.0112522
0.188801,0.0112535
0.190122,0.0112548
0.191442,0.0112563
0.192762,0.0112578
0.194083,0.0112592
0.195403,0.0112608
0.196723,0.0112622
0.198043,0.0112611
0.199364,0.0112624
0.200684,0.0112639
0.202004,0.011265
0.203325,0.0112664
0.204645,0.0112677
0.205965,0.0112692
0.207286,0.0112704
0.208606,0.0112715
0.209926,0.0112727
0.211246,0.011271
0.212567,0.0112724
0.213887,0.0112733
0.215207,0.0112746
0.216528,0.0112758
0.217848,0.0112768
0.219168,0.0112781
0.220488,0.0112793
0.221809,0.0112772
0.223129,0.0112785
0.224449,0.0112795
0.22577,0.0112811
0.22709,0.0112821
0.22841,0.011283
0.22973,0.0112839
0.231051,0.0112848
0.232371,0.0112863
0.233691,0.0112873
0.235012,0.0112883
0.236332,0.0112892
0.237652,0.0112899
0.238973,0.011291
0.240293,0.0112918
0.241613,0.0112931
0.242933,0.0112941
0.244254,0.0112952
0.245574,0.0112963
0.246894,0.0112972
0.248215,0.0112985
0.249535,0.0112995
0.250855,0.0113008
0.252175,0.0113019
0.253496,0.011303
0.254816,0.011304
0.256136,0.0113049
0.257457,0.0113058
0.258777,0.0113015
0.260097,0.0112944
0.261417,0.0112954
0.262738,0.0112962
0.264058,0.0112973
0.265378,0.0112983
0.266699,0.0112991
0.268019,0.0113005
0.269339,0.0113016
0.270659,0.0113027
0.27198,0.0113034
0.2733,0.0113043
0.27462,0.0113052
0.275941,0.011306
0.277261,0.011306
0.278581,0.0113068
0.279902,0.0113078
0.281222,0.0113084
0.282542,0.0113052
0.283862,0.0113062
0.285183,0.0113068
0.286503,0.0113075
0.287823,0.0113084
0.289144,0.0113094
0.290464,0.0113058
0.291784,0.011307
0.293104,0.0113081
0.294425,0.011309
0.295745,0.0113102
0.297065,0.0113107
0.298386,0.0113115
0.299706,0.011311
0.301026,0.011312
0.302346,0.011313
0.303667,0.0113137
0.304987,0.0113145
0.306307,0.0113153
0.307628,0.0113161
0.308948,0.011317
0.310268,0.011318
0.311588,0.0113187
0.312909,0.0113196
0.314229,0.0113203
0.315549,0.011321
0.31687,0.0113215
0.31819,0.0113222
0.31951,0.0113231
0.32083,0.0113241
0.322151,0.0113245
0.323471,0.0113253
0.324791,0.0113261
0.326112,0.0113266
0.327432,0.0113274
0.328752,0.0113279
0.330072,0.0113286
0.331393,0.0113295
0.332713,0.0113302
0.334033,0.0113309
0.335354,0.0113321
0.336674,0.0113327
0.337994,0.0113334
0.339315,0.0113341
0.340635,0.0113349
0.341955,0.0113354
0.343275,0.0113319
0.344596,0.0113325
0.345916,0.0113334
0.347236,0.0113341
0.348557,0.0113347
0.349877,0.0113352
0.351197,0.0113354
0.352517,0.0113361
0.353838,0.0113369
0.355158,0.0113377
0.356478,0.0113388
0.357799,0.0113398
0.359119,0.0113407
0.360439,0.0113414
0.361759,0.0113421
0.36308,0.0113428
0.3644,0.0113435
0.36572,0.0113443
0.367041,0.0113447
0.368361,0.0113454
0.369681,0.011346
0.371002,0.0113392
0.372322,0.0113362
0.373642,0.0113313
0.374962,0.0113316
0.376283,0.0113325
0.377603,0.0113335
0.378923,0.0113339
0.380244,0.0113344
0.381564,0.0113349
0.382884,0.0113355
0.384204,0.0113361
0.385525,0.0113366
0.386845,0.0113371
0.388165,0.0113377
0.389486,0.0113385
0.390806,0.0113391
0.392126,0.0113397
0.393446,0.0113403
0.394767,0.0113406
0.396087,0.0113411
0.397407,0.0113417
0.398728,0.0113424
0.400048,0.0113431
0.401368,0.0113437
0.402688,0.0113445
0.404009,0.011345
0.405329,0.0113458
0.406649,0.0113464
0.40797,0.011347
0.40929,0.0113476
0.41061,0.0113481
0.41193,0.0113488
0.413251,0.0113494
0.414571,0.0113498
0.415891,0.0113503
0.417212,0.0113509
0.418532,0.0113515
0.419852,0.0113517
0.421173,0.0113454
0.422493,0.011346
0.423813,0.0113463
0.425133,0.0113467
0.426454,0.0113472
0.427774,0.011348
0.429094,0.0113487
0.430415,0.0113492
0.431735,0.0113497
0.433055,0.01135
0.434375,0.0113508
0.435696,0.0113512
0.437016,0.0113514
0.438336,0.0113519
0.439657,0.0113525
0.440977,0.0113529
0.442297,0.0113531
0.443617,0.0113534
0.444938,0.0113535
0.446258,0.0113536
0.447578,0.0113542
0.448899,0.0113546
0.450219,0.0113552
0.451539,0.0113557
0.452859,0.0113565
0.45418,0.0113572
0.4555,0.0113577
0.45682,0.011358
0.458141,0.0113584
0.459461,0.0113591
0.460781,0.0113599
0.462101,0.0113602
0.463422,0.0113606
0.464742,0.0113607
0.466062,0.0113613
0.467383,0.0113619
0.468703,0.0113621
0.470023,0.0113628
0.471344,0.0113631
0.472664,0.0113637
0.473984,0.011364
0.475304,0.0113595
0.476625,0.0113601
0.477945,0.0113604
0.479265,0.0113608
0.480586,0.0113612
0.481906,0.0113616
0.483226,0.0113622
0.484546,0.011363
0.485867,0.0113635
0.487187,0.0113639
0.488507,0.0113646
0.489828,0.0113649
0.491148,0.0113651
0.492468,0.0113657
0.493788,0.0113662
0.495109,0.0113669
0.496429,0.0113675
0.497749,0.011368
0.49907,0.0113684
0.50039,0.0113689
0.50171,0.0113692
0.503031,0.0113699
0.504351,0.0113701
0.505671,0.0113702
0.506991,0.0113706
0.508312,0.0113711
0.509632,0.0113718
0.510952,0.0113722
0.512273,0.0113728
0.513593,0.0113731
0.514913,0.0113734
0.516233,0.0113738
0.517554,0.0113742
0.518874,0.0113749
0.520194,0.0113753
0.521515,0.0113753
0.522835,0.0113757
0.524155,0.0113761
0.525475,0.0113766
0.526796,0.011377
0.528116,0.0113774
0.529436,0.0113779
0.530757,0.0113785
