x,y
0,0.0110381
0.00475771,0.0110381
0.00951541,0.0110381
0.0142731,0.0110381
0.0190308,0.0110381
0.0237885,0.0110381
0.0285462,0.011038
0.0333039,0.011038
0.0380617,0.0110379
0.0428194,0.0110374
0.0475771,0.011037
0.0523348,0.0110364
0.0570925,0.0110325
0.0618502,0.0110292
0.0666079,0.0110267
0.0713656,0.0110201
0.0761233,0.0110158
0.080881,0.0110088
0.0856387,0.0110029
0.0903964,0.0109973
0.0951541,0.0109871
0.0999118,0.0109752
0.10467,0.0109588
0.109427,0.010951
0.114185,0.0109491
0.118943,0.0109409
0.1237,0.0109397
0.128458,0.0109287
0.133216,0.0109217
0.137973,0.0109153
0.142731,0.010902
0.147489,0.0108934
0.152247,0.0108797
0.157004,0.0108719
0.161762,0.010869
0.16652,0.0108608
0.171277,0.0108562
0.176035,0.0108506
0.180793,0.0108396
0.185551,0.0108307
0.190308,0.0108265
0.195066,0.0108209
0.199824,0.0108189
0.204581,0.0108153
0.209339,0.0108071
0.214097,0.0108047
0.218855,0.0108004
0.223612,0.0107981
0.22837,0.0107968
0.233128,0.0107926
0.237885,0.0107898
0.242643,0.0107857
0.247401,0.0107836
0.252158,0.0107792
0.256916,0.0107784
0.261674,0.0107708
0.266432,0.0107646
0.271189,0.0107619
0.275947,0.0107605
0.280705,0.0107594
0.285462,0.0107565
0.29022,0.0107514
0.294978,0.0107469
0.299735,0.0107424
0.304493,0.0107401
0.309251,0.0107381
0.314009,0.0107369
0.318766,0.0107355
0.323524,0.0107285
0.328282,0.0107256
0.333039,0.0107237
0.337797,0.0107221
0.342555,0.0107205
0.347313,0.010718
0.35207,0.0107166
0.356828,0.0107144
0.361586,0.0107134
0.366343,0.0107119
0.371101,0.0107099
0.375859,0.0107088
0.380617,0.0107079
0.385374,0.010707
0.390132,0.0107025
0.39489,0.0107006
0.399647,0.0106987
0.404405,0.0106975
0.409163,0.0106962
0.41392,0.0106946
0.418678,0.0106919
0.423436,0.0106903
0.428194,0.0106891
0.432951,0.0106882
0.437709,0.0106866
0.442467,0.0106851
0.447224,0.010684
0.451982,0.010683
0.45674,0.0106813
0.461498,0.0106779
0.466255,0.0106759
0.471013,0.0106746
0.475771,0.0106728
0.480528,0.010672
0.485286,0.0106706
0.490044,0.0106698
0.494801,0.0106687
0.499559,0.0106678
0.504317,0.0106671
0.509075,0.0106665
0.513832,0.0106657
0.51859,0.0106648
0.523348,0.0106641
0.528105,0.0106632
0.532863,0.0106624
0.537621,0.0106616
0.542379,0.0106604
0.547136,0.0106595
0.551894,0.0106589
0.556652,0.010658
0.561409,0.0106541
0.566167,0.010653
0.570925,0.0106524
0.575682,0.0106515
0.58044,0.0106502
0.585198,0.0106494
0.589956,0.0106489
0.594713,0.0106478
0.599471,0.0106467
0.604229,0.010646
0.608986,0.0106454
0.613744,0.0106442
0.618502,0.0106436
0.62326,0.0106426
0.628017,0.0106414
0.632775,0.0106406
